menu,title,lat,lng,content,tel,business_hours,closing_day,parking,toilet
その他,馬坂園地休憩所,33.458652461177,135.772185922979,東牟婁郡串本町串本片江生1727-1,07356-2-0555(串本町経済課),24時間,,一般駐車場 有り：17台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：1箇所
その他,橋杭園地休憩所,33.4860970662725,135.792787061429,東牟婁郡串本町野川地内,07356-2-0555(串本町経済課),24時間,,一般駐車場 有り：40台,障害者（車椅子）用便所 有り：1箇所（休憩所中央）
その他,コースト21,33.4748505795927,135.782139742308,東牟婁郡串本町串本33ー14,0735-62-0880,10:00～22:00,毎週水曜日,一般駐車場 有り：45台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所（男女便所近く） 洋式大便所 有り：2箇所 手すり付便所 有り：1箇所
その他,あらふね休憩所,33.5356668479995,135.881294030309,東牟婁郡串本町田原,0735-74-0124,24時間,年中無休,一般駐車場 有り：34台,障害者（車椅子）用便所 有り：1箇所
トイレ,潮岬公衆便所（芝前）,33.4387654618393,135.762585873562,東牟婁郡串本町潮岬2706-30,07356-2-0555(串本町経済課),24時間,,一般駐車場 有り：35台,障害者（車椅子）用便所 有り：1箇所（建物正面） 洋式大便所 有り：1箇所
トイレ,潮岬公衆便所（灯台前）,33.4379988295237,135.755653285079,東牟婁郡串本町潮岬2876-1,07356-2-0555(串本町経済課),24時間,,,障害者（車椅子）用便所 有り：1箇所（建物正面） 手すり付便所 有り：1箇所
トイレ,橋杭公衆便所,33.4882112662168,135.794367456881,東牟婁郡串本町くじ野川1596,,,,障害者用駐車場 有り,障害者（車椅子）用便所 有り：1箇所（便所中央） 手すり付便所 有り 洋式大便所 有り
トイレ,樫野公衆トイレ,33.4616964347642,135.852014150933,東牟婁郡串本町樫野,,,,一般駐車場 有り：20台（日米修好記念館と兼用）,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：1箇所
医療施設,くしもと町立病院,33.4847812228293,135.784408225829,東牟婁郡串本町サンゴ台691-7,0735-62-7111,8:30～17:15 受付は7:30～,土、日、祝祭日,一般駐車場 有り：104台 障害者用駐車場 有り:4台,障害者（車椅子）用便所 有り：5箇所 洋式大便所 有り：13箇所 手すり付便所 有り：2箇所 オストメイト対応トイレ（障害者）用トイレ 1、3、4階に有り：3箇所
医療施設,潮岬病院,33.4542786988153,135.769965955378,東牟婁郡串本町潮岬417,0735-62-0888,8:00～17:00,なし,一般駐車場 有り：30台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所（建物ローカ中央付近） 洋式大便所 有り：3箇所 手すり付便所 有り：3箇所
医療施設,新宮保健所串本支所,33.5205224729893,135.821348285766,東牟婁郡串本町西向193,07357-2-0525,9:00～17:45,土、日、祝日,一般駐車場 有り：18台 障害者用駐車場 有り：2台,障害者（車椅子、オストメイト対応）用便所 有り：1箇所 洋式大便所 有り：4箇所 手すり付便所 有り：1箇所
官公庁舎等,串本町役場,33.472610213008,135.781408777681,東牟婁郡串本町串本1800,07356-2-0555,8:30～17：15,土、日、祝祭日,一般駐車場 有り：27台,障害者（車椅子）用便所 有り：11箇所
官公庁舎等,和歌山県東牟婁振興局串本建設部,33.473804630792,135.783658545277,東牟婁郡串本町串本2491,07356-2-0755,9:00～17：30,土、日、祝日,一般駐車場 有り：15台,障害者（車椅子）用便所 有り：1箇所（1階廊下玄関） 洋式大便所 有り 手すり付便所 有り：6箇所
官公庁舎等,串本簡易裁判所,33.4635833982066,135.780436953034,東牟婁郡串本町串本1531,07356-2-0212,8:30～17:15,土、日、祝日,一般駐車場 有り：7台,障害者（車椅子）用便所 有り：1箇所（1階）
官公庁舎等,串本警察署,33.4730612654229,135.781529852674,東牟婁郡串本町串本2114,0735-62-0110,終日,なし,一般駐車場 有り：10台,
官公庁舎等,串本町役場古座分庁舎,33.5181060813036,135.823042618156,東牟婁郡串本町西向359,07357-2-0081,8:30～17:15,土、日、祝祭日,一般駐車場 有り：61台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：3箇所 手すり付便所 有り
官公庁舎等,古座福祉センター,33.5185229743471,135.833569497753,東牟婁郡串本町上野山291-4,0735-72-3539,8:30～17:15,日曜日,一般駐車場 有り：10台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所（ホール右横一般便所入口右側） 手すり付便所 有り：1箇所 洋式大便所 有り：3箇所
官公庁舎等,和歌山県水産研究所,33.4615004321039,135.784908835153,東牟婁郡串本町串本1557－20,0735-62-0940,9:00～17:45,土・日・祝日,一般駐車場 有り：100台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：9箇所 手すり付便所 有り：2箇所 オストメイト対応便所 有り
観光関連施設,串本海中公園センター,33.4809362535266,135.744817261579,東牟婁郡串本町有田1157,07356-2-1122,9:00～17:00,年中無休,一般駐車場 有り：200台,障害者（車椅子）用便所 有り：1箇所（建物正面）
